x,y,z,ale
60,40,80,6.20390993505518
70,40,80,6.40177823829865
80,40,80,6.61054104931314
90,40,80,6.829199333683
100,40,80,7.05683330793074
0,50,80,5.49785029753715
10,50,80,5.60243613893758
20,50,80,5.72454764237668
30,50,80,5.86308988085883
40,50,80,6.01692798813816
50,50,80,6.18492070281209
60,50,80,6.36594753417974
70,50,80,6.55892934387975
80,50,80,6.76284278172329
90,50,80,6.97672939598699
100,50,80,7.1997004008204
0,60,80,5.69959381377342
10,60,80,5.80054328824022
20,60,80,5.91856886905232
30,60,80,6.05267169925019
40,60,80,6.20180894274527
50,60,80,6.36492386819737
60,60,80,6.54097085728136
70,60,80,6.72893497411602
80,60,80,6.92784629146618
90,60,80,7.13678953120406
100,60,80,7.35490976215536
0,70,80,5.91325659954829
10,70,80,6.01061863778146
20,70,80,6.12459724617158
30,70,80,6.25428402529029
40,70,80,6.39872394563263
50,70,80,6.55694210879169
60,70,80,6.72796653721622
70,70,80,6.91084653685631
80,70,80,7.10466665004621
90,70,80,7.30855654577571
100,70,80,7.52169738686325
0,80,80,6.13759397520077
10,80,80,6.23145188548906
20,80,80,6.34146257736587
30,80,80,6.46680174903489
40,80,80,6.60659703059993
50,80,80,6.75995162781251
60,80,80,6.92596490882105
70,80,80,7.10374943591751
80,80,80,7.29244433647582
90,80,80,7.49122519853197
100,80,80,7.69931086343868
0,90,80,6.37147849552695
10,90,80,6.46194018973457
20,90,80,6.56809150626523
30,90,80,6.68918554652674
40,90,80,6.82442691654569
50,90,80,6.97299250142338
60,90,80,7.13404992502591
70,90,80,7.3067731908716
80,90,80,7.49035531968543
90,90,80,7.68401804980064
100,90,80,7.8870188402467
0,100,80,6.6138974028727
10,100,80,6.7010873485182
20,100,80,6.80350840900761
30,100,80,6.92048436979855
40,100,80,7.05129090139083
50,100,80,7.19517373394628
60,100,80,7.35136510925188
70,100,80,7.51909802433801
80,100,80,7.69761803754276
90,100,80,7.8861926191557
100,100,80,8.08411818463648
0,0,100,5.31652658550301
10,0,100,5.42460945424689
20,0,100,5.55063444572522
30,0,100,5.69341022509885
40,0,100,5.85171081434064
50,0,100,6.02431250353968
60,0,100,6.21002295069511
70,0,100,6.40770248827439
80,0,100,6.61627837462555
90,0,100,6.83475311222431
100,0,100,7.0622080755104
0,10,100,5.42340811401135
10,10,100,5.52940217092847
20,10,100,5.65309148933883
30,10,100,5.79334278530314
40,10,100,5.9489847950247
50,10,100,6.1188431731062
60,10,100,6.30176845694317
70,10,100,6.49665697224362
80,10,100,6.70246523059251
90,10,100,6.91821875498482
